Ссылка;Текст
http://devanswers.ru/a/He;МЫ НЕУДАЧНО ПЕРЕКЛЮЧИЛИСЬ НА ДРУГОЙ СЕРВЕР
http://devanswers.ru/a/he;ЭТО БЫЛО ЗАХАРДКОЖЕНО
http://devanswers.ru/a/hf;У НИХ БИЛЛИНГ ТУПОЙ ДО УЖАСА
http://devanswers.ru/a/Hf;ЭТО ДАВНО ИЗВЕСТНЫЙ БАГ
http://devanswers.ru/a/Hg;А ЗАЧЕМ ПИСАТЬ ХОРОШО, МЫ ЖЕ ВСЕ РАВНО ПЕРЕПИСЫВАТЬ БУДЕМ?
http://devanswers.ru/a/hg;ЕСЛИ СНИМАЕТ ДЕНЬГИ ДВАЖДЫ, ЗНАЧИТ, ОН САМ НАЖИМАЛ ДВА РАЗА
http://devanswers.ru/a/hh;НУ ЭТО ЖЕ ЛОГИЧНО, РАЗВЕ НЕТ?
http://devanswers.ru/a/Hh;ТАМ ТУПО 5000 СТРОК КОДА В ФАЙЛЕ
http://devanswers.ru/a/Hi;А ЧТО ЕСЛИ МЫ ПОСТАВИМ КРАСИВУЮ ЗАГЛУШКУ, ПОКА ВСЕ В ДАУНЕ?
http://devanswers.ru/a/hi;ИНТЕГРАЦИОННЫЕ ТЕСТЫ УПАЛИ
http://devanswers.ru/a/hj;УГРОХАЛИ КУЧУ ВРЕМЕНИЯ НА ТО, ЧТО ЕСТЬ В ОУПЕНСОРСЕ...
http://devanswers.ru/a/ib;КОНФЛИКТ ВЕРСИЙ, СКОРЕЕ ВСЕГО, ВЫ ЖЕ НЕ УДАЛИЛИ СТАРУЮ
http://devanswers.ru/a/Ib;НЕТ, МЕНЯТЬ СТРУКТУРУ БАЗЫ УЖЕ НЕ БУДЕМ
http://devanswers.ru/a/Ic;ДАЖЕ НЕ ЗНАЮ, ЧТО СКАЗАТЬ. ПОПРОБУЙТЕ ЕЩЕ РАЗ
http://devanswers.ru/a/ic;Я ВЫСЫЛАЛ ИМ МЫЛОМ ЗАПРОС, НО САППОРТ МОЛЧИТ
http://devanswers.ru/a/id;НАВЕРНОЕ, В ЗАПРОСЕ ТЕРЯЮТСЯ ПАКЕТЫ
http://devanswers.ru/a/Id;НОРМАЛЬНЫЙ ИНТЕРФЕЙС, ОБЫЧНАЯ ТАБЛИЦА С ДВОЙНЫМИ ВЫПАДАЮЩИМИ СПИСКАМИ
http://devanswers.ru/a/ie;ДА, ХАРДКОД, НО ТАК БЫЛО БЫСТРЕЕ
http://devanswers.ru/a/Ie;НЕ УДАЛОСЬ ПЕРЕБОРОТЬ БАГ
http://devanswers.ru/a/If;БЕЛАЯ СТРАНИЦА ОБЫЧНО КОГДА ОШИБКА КАКАЯ-ТО
http://devanswers.ru/a/if;ОНИ САМИ НЕ ЗНАЮТ, ЧЕГО ХОТЯТ
http://devanswers.ru/a/ig;ЕСЛИ НЕ ПРИХОДЯТ УВЕДОМЛЕНИЯ, ЗНАЧИТ, ЧТО-ТО С ПОЧТОВИКОМ
http://devanswers.ru/a/Ig;НУ, Я ДУМАЛ, МЫ СТАРТАП, У НАС ГЛАВНОЕ СКОРОСТЬ, А НЕ КАЧЕСТВО
http://devanswers.ru/a/ih;ПОСТАВЬТЕ СЕБЯ НА МОЕ МЕСТО, ВЫ БЫ УСПЕЛИ ЗА НЕДЕЛЮ?
http://devanswers.ru/a/Ih;ЭТО ВЫ ЕЩЕ В ГОСКОНТОРЕ НЕ РАБОТАЛИ...
http://devanswers.ru/a/Ii;99% ПОЛЬЗОВАТЕЛЕЙ НА ЭТУ СТРАНИЦУ ДАЖЕ НЕ ПОПАДУТ, НЕ ВОЛНУЙТЕСЬ
http://devanswers.ru/a/ii;ДЕБАЖУ
http://devanswers.ru/a/ij;ДА БЕЗ РАЗНИЦЫ КАКОЙ ПАРОЛЬ, ВСЕ РАВНО НАПИШУТ НА СТИКЕРЕ
http://devanswers.ru/a/jb;НЕ БЫЛО ТИКЕТА НА ЭТОТ БАГ
http://devanswers.ru/a/Jb;СТРАННО, НИКОГДА ПОДОБНОГО НЕ ВИДЕЛ
http://devanswers.ru/a/jc;В САППОРТЕ ИМБЕЦИЛЫ ОДНИ!
http://devanswers.ru/a/Jc;ЕСЛИ БЫ МЫ ТОГДА МОНГУ ПОСТАВИЛИ, ТАКОГО НЕ БЫЛО БЫ С МУСКЛОМ!
http://devanswers.ru/a/Jc;МЫ НЕ МОЖЕМ УСКОРИТЬ РАЗРАБОТКУ — ВСЕ ТЕСТЕРЫ В ДЕКРЕТ УШЛИ
http://devanswers.ru/a/jd;МЫ ТЕСТИРОВАЛИ ТОЛЬКО ПОД ДВУМЯ АККАУНТАМИ, ДОЛЖНО И С ТРЕМЯ РАБОТАТЬ
http://devanswers.ru/a/Jd;НАДО ДОЖИДАТЬСЯ ОКОНЧАНИЯ ЗАГРУЗКИ
http://devanswers.ru/a/je;МЫ РЕШИЛИ ТОГДА НЕ ВЫНОСИТЬ В ОТДЕЛЬНЫЙ МОДУЛЬ
http://devanswers.ru/a/Je;ТАМ ВООБЩЕ ИНТЕРЕСНАЯ СИТУАЦИЯ, КОГДА МЫ ЗАХОДИМ — ВСЕ РАБОТАЕТ
http://devanswers.ru/a/Jf;А ЧТО ПИШЕТ?
http://devanswers.ru/a/jf;У НИХ НЕТ ОБРАБОТКИ ОШИБОК
http://devanswers.ru/a/Jg;ДА, КАЧЕСТВО ХРОМАЕТ, ЗАТО ОПЕРАТИВНО
http://devanswers.ru/a/jg;ЭТО СЕЙЧАС ДОЛГО, ПОТОМ ЗАКЕШИРУЕТСЯ
http://devanswers.ru/a/Jh;ЗАТО У НАС СКРАМ
http://devanswers.ru/a/jh;НУ, ТОГДА КАЗАЛОСЬ, ЧТО УСПЕВАЕМ...
http://devanswers.ru/a/Ji;ЕСЛИ БЫ У МЕНЯ БЫЛ ВЫБОР, Я БЫ ПОБОЯЛСЯ ЭТО РЕЛИЗИТЬ
http://devanswers.ru/a/ji;СТРЕЛЯТЬ-КОЛОТИТЬ! КТО НЕ УБРАЛ ДАМПЫ?!
http://devanswers.ru/a/jj;ОЙ, ЭТО Я В ОТПУСКЕ НА НОУТЕ ЖЕНЫ В БЛОКНОТЕ ПРАВИЛ
http://devanswers.ru/a/Kb;РАССИНХРОНИЗАЦИЯ ПОШЛА
http://devanswers.ru/a/kb;ТАК НЕТУ ДОКУМЕНТАЦИИ НА АПИ, КАКИЕ КО МНЕ ПРЕТЕНЗИИ?
http://devanswers.ru/a/Kc;ЕСЛИ БЫ МЫ ТОГДА МУСКЛ ПОСТАВИЛИ, ТАКОГО НЕ БЫЛО БЫ С МОНГОЙ!
http://devanswers.ru/a/kc;ПЛАТЕЖКА НЕ СГЕНЕРИЛАСЬ ИЗ-ЗА БАНКА
http://devanswers.ru/a/Kd;ДА ЧТО Ж ТАКОЕ, СНОВА НЕ ОТПРАВЛЯЕТСЯ!
http://devanswers.ru/a/kd;ТАМ ПРОСТО НЕ ПРОВЕРЯЕТСЯ НА СОВПАДЕНИЕ ИМЕН
http://devanswers.ru/a/ke;МЫ ПРОБОВАЛИ ДЕЛАТЬ ЗАДЕРЖКУ БОЛЬШЕ, НО ТОГДА ОТВАЛИВАЛОСЬ
http://devanswers.ru/a/Ke;ПЕРЕДАЙТЕ ДЕВОЧКЕ, ЧТО НУЖНО ЛАТИНИЦЕЙ НАБИРАТЬ!
http://devanswers.ru/a/kf;СКОРЕЕ ВСЕГО, КЛИЕНТА ХАКНУЛИ
http://devanswers.ru/a/Kf;ЭТО КОЛЛЕГА ДЕЛАЛ, СЕЙЧАС ПЕРЕДАМ
http://devanswers.ru/a/kg;У ВАС КУКИ НЕ ПРИНИМАЕТ, НАВЕРНОЕ
http://devanswers.ru/a/Kg;У НАС НЕТ МАКИНТОША, НЕ МОЖЕМ ПОТЕСТИТЬ
http://devanswers.ru/a/Kh;ВАЛИДАЦИЮ НЕ ПРОХОДИТ, НО РАБОТАЕТ ЖЕ
http://devanswers.ru/a/kh;Я НЕ ХОТЕЛ РАССТРАИВАТЬ, ПОЭТОМУ НЕ ГОВОРИЛ
http://devanswers.ru/a/ki;ДА, СЕЙЧАС ВСЕ НЕ ТАК РАДУЖНО, КАК НА СТАРТЕ ПРОЕКТА...
http://devanswers.ru/a/Ki;ТЕСТЫ НЕ ПРОХОДИЛИСЬ, И Я ИХ ЗАКОММЕНТИРОВАЛ
http://devanswers.ru/a/kj;ЕСЛИ ЮЗЕР НЕ МОЖЕТ ПРОЙТИ КАПЧУ, ЕМУ УЖЕ НЕ ПОНАДОБЯТСЯ ВАШИ ТОВАРЫ
http://devanswers.ru/a/Lb;ДЕРЕВО В БАЗЕ РАЗВАЛИЛОСЬ
http://devanswers.ru/a/lb;ТЗ НА ОДНОМ ЛИСТИКЕ БЫЛО
http://devanswers.ru/a/Lc;А Я ГОВОРИЛ, ЧТО НЕ БУДЕТ МАСШТАБИРОВАТЬСЯ
http://devanswers.ru/a/lc;СБИЛИСЬ НАСТРОЙКИ В НЕТБИНСЕ
http://devanswers.ru/a/Ld;НУ, ТАМ КАК БЫ НОРМАЛЬНО ВСЕ...
http://devanswers.ru/a/ld;Я БЫЛ НА МИТИНГЕ С КАНАДЦАМИ
http://devanswers.ru/a/Le;БЫЛА РАСПЕЧАТКА, НО ЕЕ КУДА-ТО ЗАНОСИЛИ УЖЕ
http://devanswers.ru/a/le;Я САМ НЕ ЗНАЮ, КАК ТАК ПОЛУЧИЛОСЬ
http://devanswers.ru/a/lf;НАСТРОЙКИ АВТОМАТОМ НЕ ПОДТЯНУЛИСЬ
http://devanswers.ru/a/Lf;ЭТО НЕ Я ДЕЛАЛ, НИЧЕГО НЕ МОГУ СКАЗАТЬ
http://devanswers.ru/a/Lg;ЕСЛИ БЫ НЕ ПРОБЛЕМА С БИЛЛИНГОМ, МЫ БЫ УСПЕЛИ
http://devanswers.ru/a/lg;ЗАВТРА БУДЕТ ОБНОВЛЕННАЯ ВЕРСИЯ, А ПОКА ТАК
http://devanswers.ru/a/lh;КОНЕЧНО, ОСЬКОММЕРЦ СТАРЕНЬКИЙ УЖЕ, НО ПРОВЕРЕННЫЙ
http://devanswers.ru/a/Lh;НУ НЕ СОВСЕМ БЕЗДЕЛЬНИЧАЛ — ХАБР ЧИТАЛ...
http://devanswers.ru/a/Li;МНЕ ОЧЕНЬ ЖАЛЬ, НО ОТ ТАКОГО НИКТО НЕ ЗАСТРАХОВАН БЫЛ
http://devanswers.ru/a/li;ПРЕДЛОЖЕННОЕ РЕШЕНИЕ НЕ ИДЕАЛЬНО, НО ДРУГИХ ПОКА НЕТ
http://devanswers.ru/a/lj;СКОЛЬКО МЫ НИ ПРОСИЛИ БУХГАЛТЕРИЮ, ОНИ ВСЕ РАВНО ТАК ДЕЛАЮТ
http://devanswers.ru/a/Mb;ВЕРОЯТНОСТЬ ТАКОЙ ОШИБКИ ПОЧТИ НУЛЕВАЯ
http://devanswers.ru/a/mb;МНЕ ЗАДАЧУ НИКТО НЕ СТАВИЛ, СДЕЛАЛ ПО СВОЕМУ УСМОТРЕНИЮ
http://devanswers.ru/a/Mc;НУ ТАК ТАМ СЕРВАК НЕ ДЕРЖИТ НАГРУЗКУ
http://devanswers.ru/a/mc;ПЕРЕУСТАНАВЛИВАЛ ВСЕ
http://devanswers.ru/a/Md;В ПРИНЦИПЕ, ЕСЛИ ГЛУБОКО НЕ ЛАЗИТЬ — ВСЕ РАБОТАЕТ
http://devanswers.ru/a/md;МИТИНГ-РУМ БЫЛ ЗАНЯТ
http://devanswers.ru/a/Me;ПОТОМУ ЧТО ИЗ-ПОД РУТА РАБОТАЛИ...
http://devanswers.ru/a/me;ТАМ СЕССИЯ ПРИБИВАЕТСЯ ПО ТАЙМАУТУ
http://devanswers.ru/a/mf;ПРОБЛЕМА НЕ В КОДЕ — ПРОБЛЕМА В КВАЛИФИКАЦИИ ПОЛЬЗОВАТЕЛЕЙ
http://devanswers.ru/a/Mf;ЭТО МОЖЕТ БЫТЬ ЧТО УГОДНО
http://devanswers.ru/a/mg;ДАЖЕ БАБУШКИ УЖЕ ЗНАЮТ, ЧТО ТАКОЕ ЛОГИН
http://devanswers.ru/a/Mg;Я ПО ЛОГАМ ВИЖУ, ЧТО ТОТ ЮЗЕР НЕСКОЛЬКО РАЗ ЗАХОДИЛ, ПУСКАЙ НЕ ВРЕТ
http://devanswers.ru/a/mh;ЗАТЕКЛИ НОГИ НА СТЕНДАПЕ, ПОТОМУ И НЕ СТАЛ ТРАТИТЬ ВРЕМЯ
http://devanswers.ru/a/Mh;Я БЫ СКОНЦЕНТРИРОВАЛСЯ НА ФИЧАХ
http://devanswers.ru/a/Mi;В СЛЕДУЮЩИЙ РАЗ ОБЯЗАТЕЛЬНО СОХРАНИМ ТЕКУЩУЮ ВЕРСИЮ
http://devanswers.ru/a/mi;ТАМ КАКОЙ-ТО ГЕНИЙ ПРИДУМАЛ СВОЙ ПРОТОКОЛ С РАЗДЕЛИТЕЛЕМ ЧЕРЕЗ ТРИ ЗВЕЗДОЧКИ
http://devanswers.ru/a/mj;ДА, НЕКОТОРЫЕ НЕ ЗАМЕЧАЮТ ЭТУ КРАСНУЮ НАДПИСЬ КОНСКИМ ШРИФТОМ!
http://devanswers.ru/a/Nb;ХОРОШО, НО ОСНОВНОЙ ФУНКЦИОНАЛ РАБОТАЕТ ЖЕ
http://devanswers.ru/a/nb;Я ПРОБОВАЛ — ВЫЛАЗИТ ЭКСЕПШЕН ПОСТОЯННО
http://devanswers.ru/a/Nc;ТАК ТАМ ЖЕ РНР!
http://devanswers.ru/a/nc;ТАМ ВЫЛЕЗЛА БАГА ОДНА НЕПРИЯТНАЯ...
http://devanswers.ru/a/Nd;ЕСЛИ БЫ У НАС БЫЛ АЙФОН В КОМНАТЕ, МЫ БЫ ПОТЕСТИЛИ
http://devanswers.ru/a/nd;ОН МЕНЯ В СКАЙПЕ НЕ ДОБАВИЛ
http://devanswers.ru/a/ne;ВСЕ НОРМАЛЬНО ТАМ, МЫ ЖЕ КАК-ТО ЛОГИНИМСЯ
http://devanswers.ru/a/Ne;ТАМ ПРОСТО ПАПКУ НЕ ЗАКРЫЛИ С КОНФИГАМИ
http://devanswers.ru/a/Nf;МОЖЕТ, ТАМ ИСО КОНВЕРТИТСЯ В ВИН, А ПОТОМ УЖЕ БЬЕТСЯ В ЮНИКОДЕ
http://devanswers.ru/a/nf;ТАМ НЕБОЛЬШИЕ ИЗМЕНЕНИЯ В КОДЕ, МЫ НЕ СТАЛИ ТЕСТИТЬ
http://devanswers.ru/a/Ng;ДАВАЙТЕ СНАЧАЛА ЗАПУСТИМ, А ПОТОМ УЖЕ БУДЕМ УЛУЧШАТЬ
http://devanswers.ru/a/ng;НЕТ, ДЕВЯТЬ ЖЕНЩИН ЗА МЕСЯЦ РЕБЕНКА НЕ РОДЯТ
http://devanswers.ru/a/Nh;ДИМА СПЕЦ ПО МОНГЕ, У НЕГО СПРАШИВАЙТЕ
http://devanswers.ru/a/nh;Я УДИВЛЯЮСЬ, КАК ОНО ВООБЩЕ ЗАРАБОТАЛО У ВАС
http://devanswers.ru/a/ni;МЫ БЫ ВЗЯЛИ СТУДЕНТА, НО НА ТАКУЮ ЗАРПЛАТУ...
http://devanswers.ru/a/Ni;СОВСЕМ ВСЕ НЕ МОЖЕТ НЕ РАБОТАТЬ
http://devanswers.ru/a/nj;НЕ НАДО БЫЛО ФЛАЖКИ ДОБАВЛЯТЬ, ДА? МЫ ДУМАЛИ, ТАК КРАСИВЕЕ...
http://devanswers.ru/a/Ob;А ЕСЛИ БЫ МЫ ТАК НЕ СДЕЛАЛИ, ВООБЩЕ ПРИШЛОСЬ БЫ ВСЕ ПЕРЕДЕЛЫВАТЬ
http://devanswers.ru/a/ob;НЕ В ТУ ВЕТКУ ЗАКОММИТИЛ
http://devanswers.ru/a/oc;ДА НИКТО БЫ НЕ ОЦЕНИЛ ЭТУ ФИЧУ
http://devanswers.ru/a/Oc;ТАК ТАМ ЖЕ ПЕРЛ!
http://devanswers.ru/a/Od;А КАК МЫ ПРОВЕРИМ СМС БЕЗ АНГЛИЙСКОЙ СИМКИ?
http://devanswers.ru/a/od;ХОРОШО, ТЕПЕРЬ МЫ КАК МИНИМУМ ЗНАЕМ, ЧТО ОШИБКА НЕ ПОВТОРЯЕТСЯ
http://devanswers.ru/a/oe;НУ У ТЕСТЕРОВ И У НАС В КОМАНДЕ ВСЕ ПОКАЗЫВАЕТ
http://devanswers.ru/a/Oe;ЧТО-ТО С ПРАВАМИ НА ПАПКИ...
http://devanswers.ru/a/of;ТАМ ТОЛЬКО ОДНО УСЛОВИЕ ПОМЕНЯЛОСЬ, МЫ НЕ СТАЛИ ПЕРЕПИСЫВАТЬ ТЕСТ СЕЙЧАС
http://devanswers.ru/a/Of;У НАС ТДД — МЫ ТЕСТЫ НАПИСАЛИ, А ФУНКЦИОНАЛ НЕ УСПЕЛИ
http://devanswers.ru/a/Og;ВИДИМО, ЧТО-ТО СЛУЧИЛОСЬ
http://devanswers.ru/a/og;ЭТО НЕ ВХОДИТ В МОИ ПОЛНОМОЧИЯ
http://devanswers.ru/a/Oh;А КАК ЭТО ОТНОСИТСЯ К ПОСТАНОВКЕ ЗАДАЧИ?
http://devanswers.ru/a/oh;МЫ МОЖЕМ ПОСТАВИТЬ ВИЗУАЛЬНЫЙ РЕДАКТОР, НО ОН ТЯЖЕЛЫЙ
http://devanswers.ru/a/oi;А ЗАЧЕМ ВЫ ТОГДА ПРОСИЛИ ЭТО СДЕЛАТЬ, ЕСЛИ ОНО НЕ НУЖНО?
http://devanswers.ru/a/Oi;ТАМ НА СЕРВЕРЕ ПАРАНОРМАЛ АКТИВИТИ КАКОЕ-ТО
http://devanswers.ru/a/oj;ПОПЫТКА ОБНОВИТЬ ДВЕ БИБЛИОТЕКИ ВЫЛИЛАСЬ В ОБНОВЛЕНИЕ ВООБЩЕ ВСЕГО
http://devanswers.ru/a/Pb;НЕ ПЕРЕЗАЛИЛИ НОВЫЙ КЛЮЧ, НАВЕРНОЕ
http://devanswers.ru/a/pb;ТЕСТЕРЫ НЕ ПОТЕСТИЛИ НА БОЛЬШОМ РАЗРЕШЕНИИ, У МЕНЯ НА НОУТЕ НОРМ
http://devanswers.ru/a/pc;А НА ЧТО КЛИКАЛИ?
http://devanswers.ru/a/Pc;ТАК ТАМ ЖЕ НА РУБИ ВСЕ!
http://devanswers.ru/a/pd;В ПРИНЦИПЕ, Я НЕ ЗАДАВАЛСЯ ВОПРОСОМ, СКОЛЬКО ЮЗЕРОВ МОЖЕТ ОДНОВРЕМЕННО ВИСЕТЬ...
http://devanswers.ru/a/Pd;ЗАБЫЛИ УБРАТЬ ЗАГЛУШКУ, НАВЕРНОЕ
http://devanswers.ru/a/pe;ДА, ТАМ ЗАБЫЛИ ДОКУ ОБНОВИТЬ...
http://devanswers.ru/a/Pe;ЧТО-ТО С ПАПКОЙ ДЛЯ ПРЕВЬЮШЕК
http://devanswers.ru/a/Pf;В ФИНАЛЬНОЙ ВЕРСИИ ЭТОГО НЕ БУДЕТ, ЧЕСТНО
http://devanswers.ru/a/pf;ХУЖЕ, ЧЕМ ЕСТЬ, УЖЕ НЕ БУДЕТ
http://devanswers.ru/a/Pg;НАС ПРОСИЛИ ПОМЕНЯТЬ ЭТО В ПОСЛЕДНИЙ МОМЕНТ
http://devanswers.ru/a/pg;СКОРЕЕ ВСЕГО, ТАБЛИЦА В БАЗЕ ПОБИЛАСЬ
http://devanswers.ru/a/Ph;ДА НЕ ХОТЕЛОСЬ БЫ НА ВЫХОДНЫЕ В ОФИС ПРИХОДИТЬ...
http://devanswers.ru/a/ph;СЕЙЧАС В ТРЕНДЕ БЭКБОН
http://devanswers.ru/a/Pi;ДА, ТАМ ОТКУДА-ТО ПРОШЛОГОДНИЙ КУРС ДОЛЛАРА ВЫЛЕЗ В МАГАЗИНЕ...
http://devanswers.ru/a/pi;Я НЕ НАСТРАИВАЮ СЕРВЕРА, Я ПИШУ СКРИПТЫ
http://devanswers.ru/a/pj;Я ХОТЕЛ ОТВЕТИТЬ НА ПИСЬМО, НО ЧТО-ТО ПОМЕШАЛО
http://devanswers.ru/a/Qb;А ОН В ОТПУСК УШЕЛ И НИЧЕГО МНЕ НЕ ОСТАВЛЯЛ
http://devanswers.ru/a/qb;ДИЗАЙНЕР НАРИСОВАЛ ФИГНЮ КАКУЮ-ТО
http://devanswers.ru/a/qc;А ЧИСТИЛИ КЭШ?
http://devanswers.ru/a/Qc;МНОГО ЭЛЕМЕНТОВ, РЕНДЕРИТСЯ КАКОЕ-ТО ВРЕМЯ
http://devanswers.ru/a/Qd;ЗАБЫЛ ЗАКОММЕНТИТЬ. СЕЙЧАС...
http://devanswers.ru/a/qd;МЫ БЫ ТАК СДЕЛАЛИ, НО МЕСТА НА ДИСКЕ НЕ БЫЛО
http://devanswers.ru/a/qe;В ДОКАХ НЕ ВСЕ СЕЙЧАС ЕСТЬ, ЛУЧШЕ СПРАШИВАТЬ У ЛЕШИ
http://devanswers.ru/a/Qe;ШАБЛОНЫ НЕ ОТТУДА БЕРУТСЯ
http://devanswers.ru/a/qf;ВВОДИТЕ ПОКА ВСЕ В КОПЕЙКАХ, ПОТОМ ДОБАВИМ ТОЧКУ
http://devanswers.ru/a/Qf;ВЫ НЕПРАВИЛЬНО НАЖИМАЕТЕ
http://devanswers.ru/a/qg;ВСЕ НОРМАЛЬНО, ПОЛЬЗОВАТЕЛЬ НЕ ВИДИТ ЭТОЙ ОШИБКИ
http://devanswers.ru/a/Qg;ВЧЕРА БЫЛ ДЕНЬ РОЖДЕНИЯ, САМИ ПОНИМАЕТЕ...
http://devanswers.ru/a/qh;ВОССТАНОВЛЕНИЕ ПАРОЛЯ ПОКА НЕ РАБОТАЕТ, ДАВАЙТЕ РУКАМИ В БАЗЕ ПОМЕНЯЮ
http://devanswers.ru/a/Qh;ПОВЕРЬТЕ МОЕМУ ОПЫТУ, ЛУЧШЕ БЕЗ ДЖУМЛЫ
http://devanswers.ru/a/qi;ПОЖАЛУЙ, УЖЕ ПОЗДНО МЕНЯТЬ АРХИТЕКТУРУ
http://devanswers.ru/a/Qi;ЭТО ВСЕ ХОРОШО, КОНЕЧНО, НО КТО ЕГО БУДЕТ ДЕЛАТЬ?
http://devanswers.ru/a/qj;ОНА ЗАРАБОТАЛА И СНОВА ПЕРЕСТАЛА
http://devanswers.ru/a/rb;Я НЕ ДИЗАЙНЕР!
http://devanswers.ru/a/Rb;Я НЕ ЧИТАЛ КОММЕНТЫ К ТИКЕТУ
http://devanswers.ru/a/rc;В ЛОГАХ ЧИСТО
http://devanswers.ru/a/Rc;ЭТО НОРМАЛЬНО
http://devanswers.ru/a/Rd;ЗАБЫЛ УБРАТЬ ВЫВОД В КОНСОЛЬ
http://devanswers.ru/a/rd;ОНО В СВОП УХОДИТ
http://devanswers.ru/a/re;ЕСЛИ НЕ БУДЕТ ПУСКАТЬ, ПОПРОБУЙТЕ БОЛЬШИМИ БУКВАМИ
http://devanswers.ru/a/Re;НЕ ВСЕ ФАЙЛЫ ЗАЛИЛИСЬ
http://devanswers.ru/a/Rf;У ВАС НАСТРОЙКИ БЕЗОПАСНОСТИ ПОВЫШЕННЫЕ В БРАУЗЕРЕ
http://devanswers.ru/a/rf;УДАЛЯЙТЕ ПОКА ПО ОДНОМУ, ДЛЯ ДВУХ СОТЕН ТОВАРОВ ПИСАТЬ ПАКЕТНОЕ УДАЛЕНИЕ НЕТ СМЫСЛА
http://devanswers.ru/a/Rg;ЗАТО ТАМ ЗАЛОЖЕНА ВОЗМОЖНОСТЬ МЕНЯТЬ ВСЕ ИЗ КОНФИГА
http://devanswers.ru/a/rg;МЫ НЕ СТАЛИ ДОБАВЛЯТЬ ЭФФЕКТЫ, ЧТОБЫ НЕ ПУГАТЬ ПОЛЬЗОВАТЕЛЯ
http://devanswers.ru/a/Rh;ВАС ВЫКИНУЛО, ПОТОМУ ЧТО Я ПОД ВАМИ ЗАШЕЛ
http://devanswers.ru/a/rh;ДАВАЙТЕ ТОЛЬКО ВКОНТАКТЕ, ЗАЧЕМ ВАМ ПЕНСИОНЕРЫ С ОДНОКЛАССНИКОВ?
http://devanswers.ru/a/Ri;В ПОСЛЕДНЕЕ ВРЕМЯ МНЕ ХОЧЕТСЯ СТАТЬ ДЖУНИОРОМ И НИ ЗА ЧТО НЕ ОТВЕЧАТЬ
http://devanswers.ru/a/ri;ВЕЛОСИПЕД, КОНЕЧНО, А ЧТО ВЫ ХОТЕЛИ
http://devanswers.ru/a/rj;КАКИЕ-ТО АРТЕФАКТЫ ПОЯВИЛИСЬ...
http://devanswers.ru/a/sb;БУХГАЛТЕРИЯ НЕ ПРОПЛАТИЛА ХОСТИНГ
http://devanswers.ru/a/Sb;У МЕНЯ НЕ ПРОЧИТАЛОСЬ С ФЛЕШКИ
http://devanswers.ru/a/sc;БАГ-РЕПОРТОВ НЕ БЫЛО
http://devanswers.ru/a/Sc;ТАК ТАМ ЖЕ НА ДОТНЕТЕ ВСЕ!
http://devanswers.ru/a/Sd;ЗАБЫЛ ПОЧИСТИТЬ ЛОГИ
http://devanswers.ru/a/sd;ТАМ ТЕТКА У ЗАКАЗЧИКА НЕВМЕНЯЕМАЯ
http://devanswers.ru/a/se;ЕСЛИ НЕ СМОЖЕТЕ ОТПРАВИТЬ ЧЕРЕЗ ФОРМУ, ПЕРЕЛОГИНЬТЕСЬ
http://devanswers.ru/a/Se;ЗАДЕПЛОИЛОСЬ, НО НЕ СТАРТОНУЛО
http://devanswers.ru/a/sf;ТАМ ПРИХОДИТ КАКОЙ-ТО ОТВЕТ, НО МЫ ЕГО НЕ ОБРАБАТЫВАЕМ
http://devanswers.ru/a/Sf;ЭКСПОРТ ИЗ БАЗЫ НАДО НАСТРАИВАТЬ САМИМ
http://devanswers.ru/a/Sg;ТРИ СЕКУНДЫ ЗАГРУЗКИ — МНОГОВАТО, НО ТЕРПИМО
http://devanswers.ru/a/sg;ЭТО НЕ ШРИФТ МЕЛКИЙ, ЭТО МОНИТОР БОЛЬШОЙ
http://devanswers.ru/a/sh;НАС НИКТО НЕ БУДЕТ ВЗЛАМЫВАТЬ
http://devanswers.ru/a/Sh;НУ ДАВАЙТЕ ТРОЙНОЕ ПОДТВЕРЖДЕНИЕ УДАЛЕНИЯ СДЕЛАЮ, Я УЖЕ НЕ ЗНАЮ...
http://devanswers.ru/a/si;МЫ ПРОСТО НАКАТЫВАЕМ ИЗМЕНЕНИЯ БЕЗ ПРОВЕРКИ ОШИБОК
http://devanswers.ru/a/Si;ЭТО ЧТО, СИНЬОР ДЕВЕЛОПЕР ПИСАЛ?
http://devanswers.ru/a/sj;ДЛЯ КОД-РЕВЬЮ НУЖЕН КОД, А ЭТО НАЗВАТЬ КОДОМ СЛОЖНО...
http://devanswers.ru/a/Tb;АРХИВ БИТЫЙ
http://devanswers.ru/a/tb;КОНЕЧНО, Я НЕ ЗНАЮ ИСПАНСКИЙ, ПОЭТОМУ НАПИСАЛ НА КНОПКЕ ПО-РУССКИ
http://devanswers.ru/a/tc;А ОБНОВИТЬ ПРОБОВАЛИ? КОНТРОЛ-ЭФ-ПЯТЬ
http://devanswers.ru/a/Tc;НУ, ЕСЛИ БЫ ТАМ НА ДЖАВЕ БЫЛО...
http://devanswers.ru/a/td;А Я ГОВОРИЛ, ЧТО НУЖНО БЫЛО ЕЩЕ ЧЕЛОВЕКА БРАТЬ
http://devanswers.ru/a/Td;У НАС УЖЕ БЫЛО ТАКОЕ, РЕШИЛИ ПЕРЕУСТАНОВКОЙ
http://devanswers.ru/a/te;Я ПОД ДРУГИМ АККУАНТОМ В ГУГЛЕ, НЕ СМОГ ПРОЧИТАТЬ ДОКУМЕНТ
